state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-05,Micrograms/cubic meter (25 C),No Events,1,100,Y,27,27,23,25,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-06,Micrograms/cubic meter (25 C),No Events,1,100,Y,32,32,23,30,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-07,Micrograms/cubic meter (25 C),No Events,1,100,Y,22,22,23,20,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-08,Micrograms/cubic meter (25 C),No Events,1,100,Y,23,23,23,21,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-09,Micrograms/cubic meter (25 C),No Events,1,100,Y,17,17,23,16,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-10,Micrograms/cubic meter (25 C),No Events,1,100,Y,41,41,23,38,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-11,Micrograms/cubic meter (25 C),No Events,1,100,Y,24,24,23,22,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-12,Micrograms/cubic meter (25 C),No Events,1,100,Y,33,33,23,31,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-13,Micrograms/cubic meter (25 C),No Events,1,100,Y,30,30,23,28,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
17,031,0022,81102,4,41.687165,-87.539315,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,2022-08-14,Micrograms/cubic meter (25 C),No Events,1,100,Y,26,26,23,24,122,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2022-10-12
